RegionID,RegionName,Borough,BoroughIndex
4819,Fresh Meadows,Queens,4
5837,Maspeth,Queens,4
6719,Rego Park,Queens,4
8349,College Point,Queens,4
8731,Fort Hamilton,Brooklyn,2
10007,Arverne,Queens,4
10329,Belle Harbor,Queens,4
10562,Broad Channel,Queens,4
10957,Corona,Queens,4
13356,Pomonok,Queens,4
16920,Bay Terrace,Staten Island,5
18071,Far Rockaway,Queens,4
18131,Flushing,Queens,4
20239,Roosevelt Island,Manhattan,3
21970,Howard Beach,Queens,4
25160,Hollis,Queens,4
25294,Jamaica,Queens,4
26254,Oakland Gardens,Queens,4
26352,Ozone Park,Queens,4
27182,South Ozone Park,Queens,4
32192,Jamaica Estates,Queens,4
35830,Malba,Queens,4
35961,Rockaway Park,Queens,4
37309,Bayside,Queens,4
37557,Breezy Point,Queens,4
42662,Neponsit,Queens,4
44302,Briarwood,Queens,4
45032,East Elmhurst,Queens,4
49994,Woodhaven,Queens,4
50348,Cambria Heights,Queens,4
55801,Glen Oaks,Queens,4
56273,Rockaway Beach,Queens,4
57348,Kew Gardens Hills,Queens,4
193043,Arrochar,Staten Island,5
193182,Bath Beach,Brooklyn,2
193189,Bay Ridge,Brooklyn,2
193285,Bensonhurst,Brooklyn,2
193292,Bergen Beach,Brooklyn,2
193406,Borough Park,Brooklyn,2
193476,Brighton Beach,Brooklyn,2
193526,Brownsville,Brooklyn,2
193555,Bulls Head,Staten Island,5
193587,Bushwick,Brooklyn,2
193640,Canarsie,Brooklyn,2
193861,Clason Point,Bronx,1
193974,Coney Island,Brooklyn,2
194257,Dongan Hills,Staten Island,5
194318,Dyker Heights,Brooklyn,2
194379,East Flatbush,Brooklyn,2
194430,East New York,Brooklyn,2
194737,Flatbush,Brooklyn,2
195067,Graniteville,Staten Island,5
195069,Grant City,Staten Island,5
195087,Great Kills,Staten Island,5
195119,Greenridge,Staten Island,5
195133,Greenwich Village,Manhattan,3
195167,Grymes Hill,Staten Island,5
195267,Harlem,Manhattan,3
195511,Huguenot,Staten Island,5
196156,Manhattan Beach,Bronx,1
196213,Mariner's Harbor,Staten Island,5
196338,Middle Village,Queens,4
196350,Midland Beach,Staten Island,5
196538,Murray Hill,Queens,4
196583,New Brighton,Staten Island,5
196591,New Dorp,Staten Island,5
196592,New Dorp Beach,Staten Island,5
196620,New Springville,Staten Island,5
196623,New Utrecht,Brooklyn,2
196875,Oakwood,Staten Island,5
197042,Park Hill,Staten Island,5
197044,Park Slope,Brooklyn,2
197231,Pleasant Plains,Staten Island,5
197294,Port Ivory,Staten Island,5
197303,Port Richmond,Staten Island,5
197599,Rosebank,Staten Island,5
197623,Rossville,Staten Island,5
197995,South Beach,Staten Island,5
198184,Stapleton,Staten Island,5
