RegionID,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08
4819,1772,1763.790187,1771.885259,1775.402887,1784.944256,1800.494055,1824.87534,1845.434461,1833.854248,1830.936615,1823.165953,1852.403323,1876.343247,1890.511564,1889.673697,1910.284611,1926.567495,1914.600351,1888.560155,1872.005083,1881.15014,1899.97542,1945.354352,2003.806241,2042.169789,2058.416401,2066.836379,2046.850999,2029.549301,2016.113109,2018.949206,2030.15077,2062.923999,2108.584612,2144.68618,2169.247141,2183.077274,2167.121888,2159.899263,2159.382569,2172.073742,2188.54392,2207.599556,2236.86297,2255.548439,2281.238252,2301.574166,2319.354758,2320.286923,2302.406442,2283.424985,2278.847301,2278.66175,2287.77024,2301.350755,2324.33751,2338.335577
5837,1675,1688.099586,1696.485886,1712.312501,1730.825218,1750.371131,1763.882202,1763.655998,1739.810441,1702.176022,1690.359006,1698.117754,1714.758364,1719.975727,1721.056659,1738.997693,1751.954127,1754.727346,1764.8469,1775.509976,1787.670856,1781.827302,1794.671493,1801.20667,1822.125029,1829.809747,1861.686571,1862.510242,1889.152243,1908.701143,1940.091425,1979.824301,2029.635691,2098.122532,2145.639374,2173.076351,2169.607428,2165.199829,2170.435357,2171.814799,2147.239126,2118.1605,2095.557944,2100.921022,2126.334207,2142.808998,2169.594459,2188.070526,2215.210117,2210.844297,2196.809031,2191.491488,2200.185017,2214.214561,2216.707695,2212.355257,2188.020715
6719,1655,1645.274641,1647.873133,1664.008925,1688.513971,1711.059034,1731.418112,1746.906192,1729.034588,1698.274185,1681.570311,1680.540917,1693.213713,1699.511426,1701.67539,1709.966012,1723.821973,1737.286655,1757.114822,1771.650171,1786.707152,1777.024533,1799.501072,1819.537107,1861.694482,1877.635407,1898.115042,1892.119379,1896.7929,1895.393465,1903.987863,1929.497832,1961.156886,1989.697343,2000.753908,2001.719229,2000.272214,2007.590964,2022.930042,2036.972929,2032.617821,2022.096642,2012.950993,2012.511223,2033.223951,2047.99444,2093.634916,2125.282416,2147.387815,2137.403827,2125.422256,2122.176549,2126.435799,2121.79845,2110.433631,2096.608895,2070.587228
8349,1686,1690.091444,1694.501692,1697.525692,1701.305743,1706.145022,1720.596749,1732.126952,1724.136473,1709.979694,1707.936396,1714.7181,1722.592783,1727.771651,1724.932913,1737.062247,1747.103756,1759.571983,1775.478508,1793.844046,1798.271599,1783.74841,1799.501072,1815.678068,1858.799156,1872.852841,1903.866906,1899.760446,1910.164048,1911.552788,1919.189363,1944.690728,1981.129871,2025.839072,2052.226376,2071.602301,2066.659315,2054.681418,2047.833536,2055.14311,2067.95939,2067.750753,2074.66883,2080.006876,2099.731277,2110.572048,2137.311653,2155.725136,2175.089882,2174.600948,2166.350674,2163.955416,2163.310408,2167.063484,2162.159945,2158.716699,2141.04732
8731,1679,1698.058876,1704.422662,1698.511479,1697.369813,1709.093429,1722.564269,1722.274125,1708.462505,1693.39689,1702.077266,1701.047227,1723.572085,1719.975727,1706.520708,1701.256507,1716.061379,1746.007,1766.77992,1797.70385,1810.799751,1821.210008,1822.68305,1799.27715,1793.171771,1797.288298,1837.720472,1858.689708,1869.095521,1856.420982,1872.634769,1894.364259,1928.819673,1937.386944,1961.67296,1979.701275,2013.742061,2012.396113,2007.604814,2016.890097,2046.945484,2060.141734,2062.325262,2058.142087,2061.727091,2068.853643,2076.544019,2083.423675,2091.983681,2104.975567,2116.855843,2133.570786,2129.272307,2117.083343,2096.326454,2089.080677,2079.981907
10007,1599,1593.486335,1583.386827,1569.373346,1570.436071,1578.380705,1603.529274,1616.848879,1609.520582,1592.924609,1591.730318,1605.351114,1619.766039,1610.832791,1597.985603,1596.742456,1618.083878,1628.766797,1632.435057,1629.802364,1639.260445,1651.191985,1682.625264,1694.118324,1703.416672,1698.767439,1716.931333,1720.195356,1723.923053,1721.443112,1726.320333,1735.788404,1747.160621,1758.580491,1770.080994,1785.368896,1798.224516,1808.657824,1833.28035,1860.052745,1868.327282,1849.942601,1841.090554,1849.000628,1871.706161,1890.602275,1914.180494,1929.307403,1946.78664,1954.279536,1946.479406,1947.464923,1939.226244,1949.22551,1943.968946,1951.690686,1947.516935
10329,1643,1653.242073,1643.904745,1622.605859,1615.699266,1621.624012,1650.749768,1660.201317,1645.766633,1629.992053,1625.908576,1642.45777,1663.834643,1666.378749,1672.603487,1695.450171,1723.821973,1746.007,1745.516704,1755.246003,1767.433072,1794.314502,1830.410376,1852.338942,1865.554916,1866.157248,1871.273011,1854.869174,1835.66765,1809.844111,1801.377739,1807.954661,1829.905843,1843.228226,1865.40038,1890.672155,1912.718211,1899.955642,1907.033008,1935.602445,1981.99341,2007.829733,2028.143076,2042.931799,2058.876777,2090.660991,2112.624802,2121.477076,2131.148672,2135.496282,2134.940493,2133.570786,2116.035268,2113.311257,2114.195544,2137.073071,2154.199871
10562,1618,1607.42934,1597.276185,1581.202793,1580.275896,1582.311915,1599.594233,1608.966617,1603.642844,1596.826445,1598.565969,1614.139532,1636.414178,1637.144035,1638.686267,1645.128591,1666.587591,1669.461743,1666.2629,1668.400406,1685.518235,1716.509644,1757.966694,1776.122913,1777.730034,1754.245204,1755.277092,1749.804494,1754.485678,1748.058467,1747.222395,1747.183076,1752.867188,1758.580491,1759.595862,1776.753175,1796.300252,1817.307091,1829.449043,1852.402142,1857.820329,1865.160638,1876.222246,1889.878277,1903.059614,1919.046642,1934.119875,1942.626093,1950.607615,1957.140853,1961.708585,1970.253396,1959.081803,1952.997596,1943.028467,1962.983014,1978.519375
10957,1653,1666.189149,1681.604431,1699.497267,1718.033446,1733.66349,1749.125797,1757.744302,1741.769687,1707.053317,1687.429441,1686.399862,1696.15162,1702.434898,1698.7682,1711.901457,1723.821973,1737.286655,1760.014351,1778.404829,1790.561968,1782.787856,1808.194314,1835.938025,1881.961762,1895.809157,1919.205209,1912.177181,1922.580114,1929.613207,1938.191238,1958.934068,1995.396288,2050.567625,2085.588161,2102.235976,2091.674744,2082.551278,2081.357472,2090.527146,2095.659539,2092.480063,2088.911408,2091.414592,2113.982847,2129.53496,2167.695471,2195.681206,2225.717798,2222.289565,2215.845505,2208.582843,2203.021525,2194.411109,2190.374298,2191.652656,2172.049761
13356,1710,1711.005952,1717.319923,1723.156161,1730.825218,1745.457119,1764.865962,1791.243913,1783.893475,1776.310908,1770.433783,1777.21352,1778.413015,1767.725761,1756.912006,1759.31987,1770.385538,1770.230183,1777.411528,1779.36978,1803.090119,1811.60447,1849.728692,1875.493179,1908.019694,1912.069882,1925.915717,1924.593916,1937.861427,1948.624175,1954.342831,1966.530516,1974.472209,1980.186361,1986.456,1997.890019,2022.401248,2035.460825,2047.833536,2072.356965,2090.883651,2095.333444,2091.759923,2098.069093,2115.883056,2132.379396,2151.554068,2159.530476,2166.492689,2162.201907,2157.784261,2144.965022,2129.272307,2113.311257,2103.850281,2101.314032,2084.679247
