Year,Neighborhood1
2011-12,1772
2012-01,1763.790187
2012-02,1771.885259
2012-03,1775.402887
2012-04,1784.944256
2012-05,1800.494055
2012-06,1824.87534
2012-07,1845.434461
2012-08,1833.854248
2012-09,1830.936615
2012-10,1823.165953
2012-11,1852.403323
2012-12,1876.343247
2013-01,1890.511564
2013-02,1889.673697
2013-03,1910.284611
2013-04,1926.567495
2013-05,1914.600351
2013-06,1888.560155
2013-07,1872.005083
2013-08,1881.15014
2013-09,1899.97542
2013-10,1945.354352
2013-11,2003.806241
2013-12,2042.169789
2014-01,2058.416401
2014-02,2066.836379
2014-03,2046.850999
2014-04,2029.549301
2014-05,2016.113109
2014-06,2018.949206
2014-07,2030.15077
2014-08,2062.923999
2014-09,2108.584612
2014-10,2144.68618
2014-11,2169.247141
2014-12,2183.077274
2015-01,2167.121888
2015-02,2159.899263
2015-03,2159.382569
2015-04,2172.073742
2015-05,2188.54392
2015-06,2207.599556
2015-07,2236.86297
2015-08,2255.548439
2015-09,2281.238252
2015-10,2301.574166
2015-11,2319.354758
2015-12,2320.286923
2016-01,2302.406442
2016-02,2283.424985
2016-03,2278.847301
2016-04,2278.66175
2016-05,2287.77024
2016-06,2301.350755
2016-07,2324.33751
2016-08,2338.335577
