Date,Upper West Side,Upper East Side,East Brooklyn,Washington Heights,Astoria-Long Island City,Williamsburg,Bedford-Stuyvesant,Flatbush,Jamaica,Harlem,Williams Bridge,East Harlem,Bushwick,Corona,Sunset Park,Borough Park,Bensonhurst,Soundview,Lower East Side,Canarsie,South Bronx,Flushing,Gravesend-Sheepshead Bay,Forest Hills,East Village,Ridgewood,Jackson Heights,Mapleton-Flatlands,Queens Village,Park Slope,Gramercy,Brownsville,Woodhaven-Richmond Hill,Bay Ridge,Bayside,Maspeth,Hamilton Heights,Chelsea,Woodside,Sunny Side,Greenwich Village,Coney Island,Morningside Heights,Parkchester,Dyker Heights,Wakefield-Williamsbridge,Morris Park,Saintalbans,Throggs Neck,Whitestone,Fort Green,Greenwood,Kings Bridge,Glendale,Middle Village,Clinton,Financial District,Auburndale,Laurelton,Rosedale,Howard Beach,College Point,Ettingville,Douglastown-Little Neck,Great Kills,West Village,Nkew Gardens,North Sutton Area,Midtown,Port Richmond,Baychester,Spuyten Duyvil,The Rockaways,Battery Park,Ardon Heights,Mariners Harbor,Riverdale,Oakwood,Carroll Gardens,Boerum Hill,Rosebank,Rossville,Murray Hill,Tottensville,Huguenot,Downtown,Richmondtown,Eastchester,Prince's Bay,Midland Beach,Little Italy,South Beach,Springfield Gardens,Country Club,Cobble Hill,Woodlawn-Nordwood,Annandale,Clearview,New Brighton,Woodrow,Westerleigh-Castleton,Garment District,Todt Hill,City Island,Utopia,Bloomfield-Chelsea-Travis
2011-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01,-0.012301859,-0.001401884,0.001674703,-0.006148056,-0.004071041,0.010738312,0.000111025,-0.004071041,-0.007137325,0.000181431,-0.011866962,-0.005649375,0.00016438,0.007978917,0.000133726,-0.001653737,-0.000319896,-0.014533853,-0.005672728,-0.007275445,-0.020648603,-0.001146998,-0.006567103,-0.007076258,-0.017317235,0.002629399,-0.004071041,-0.006681602,-0.000431836,0.011663896,-0.012100136,-0.002772567,0.000221757,0.009719668,-0.00069501,0.007820648,0.005802393,-0.017891136,0.00183251,-0.001091002,-0.018974907,-0.001694122,0.008506707,-0.000749063,0.001377811,-0.004071041,-0.017072724,-0.006518041,-0.011040009,-0.000646643,0.012066697,0.006927623,-0.011264224,0.00450927,0.004737293,-0.006874719,-0.001307982,-0.002944424,-0.005295293,-0.001610438,0.003911128,0.002426716,-0.010633999,-0.001785489,-0.012256758,-0.023752287,-0.003461537,-0.013402043,-0.016429723,0.000321149,-0.019521781,-0.001008528,-0.000368703,-0.000115319,-0.00957341,0.000878358,-0.005276766,-0.005722664,0.005964712,0.00497053,0.000365169,-0.005731845,-0.005059719,-0.015970451,-0.015762843,0.006763696,-0.010054229,-0.006637868,-0.018147775,-0.010591034,-0.009113719,-0.005179476,-0.004686572,-0.014759672,0.001143247,-0.00407104,-0.009304509,-0.002370536,-0.011122825,-0.01170268,-0.002417589,-0.005363196,-0.025882045,-0.012092773,-0.005182569,0.0003627
2012-02,-0.008533694,0.001735473,-0.000271475,-0.009972015,0.00537114,0.02067973,-0.004332155,-0.002933187,-0.018288243,-0.004090491,-0.018904719,-0.015764298,-0.004286598,0.017304556,-0.003116033,-0.003688986,0.001438789,-0.022234005,-0.001201789,-0.011095066,-0.034579095,0.002000503,-0.004173303,-0.00790299,-0.025701205,-0.000621545,0.001154499,-0.010503507,-0.000652586,0.020218718,-0.012701912,-0.005316037,-0.003015813,0.016585858,0.003307145,0.012827395,0.00920213,-0.029285654,0.009739517,0.004565015,-0.027989462,-0.002575501,0.017155717,0.002024598,-0.002475104,-0.004650214,-0.025387729,-0.018262726,-0.019893985,-0.002217621,0.020573868,0.017844419,-0.020279775,0.00247587,0.006721081,-0.009144276,0.004330018,-4.70187E-05,-0.019488635,-0.011579694,4.84649E-05,0.005042522,-0.01825436,0.002911607,-0.018775287,-0.037022955,-0.007295832,-0.015029234,-0.01781195,-0.001886967,-0.028424713,-0.001191387,-0.005444262,0.004221629,-0.018317269,0.001957719,-0.009704619,-0.006257722,0.003046257,0.012812607,0.003697253,-0.009557405,0.000960881,-0.019756617,-0.022726212,0.016273438,-0.014946825,-0.015573844,-0.0249304,-0.01493914,-0.014879763,-0.00569465,-0.013421454,-0.026066383,0.001541055,-0.004622247,-0.008424324,-0.002821105,-0.01816979,-0.016591306,-0.006255901,-0.003719643,-0.029310559,-0.023884727,0.00206227,-0.00459048
2012-03,-0.005439028,-0.000342349,-0.001574424,-0.008559093,0.026503332,0.036634112,-0.005933765,-0.008039978,-0.028781007,-0.013370889,-0.025144479,-0.032959866,-0.00582814,0.028129018,-0.002916004,-0.009427347,0.001876712,-0.027158058,-0.001212633,-0.021824979,-0.041350272,0.006625999,-0.005565466,-0.000529495,-0.027628943,-0.008183442,0.013986914,-0.018088688,-0.000404496,0.025640202,-0.015484296,-0.007786469,-0.011784675,0.013087828,0.008064956,0.02227612,0.004058335,-0.021488979,0.024938284,0.020593651,-0.022311914,-0.010095473,0.01898639,0.007489065,-0.007620832,-0.008394961,-0.032229722,-0.030561775,-0.028008728,-0.005173985,0.029143663,0.020624597,-0.028452591,-0.002686594,0.011361948,-0.013596027,0.001589047,0.004744725,-0.033601286,-0.023954907,-0.009350639,0.006836116,-0.02070885,0.008410049,-0.020694612,-0.034553,-0.012402832,-0.020370045,-0.015704531,-0.005517796,-0.032055026,-0.001481153,-0.01360195,-0.001864027,-0.021292962,-0.001148728,-0.016599616,-0.004948829,0.008492551,0.021585272,-0.001039619,-0.011472902,-0.003448004,-0.025478863,-0.027363567,0.029542849,-0.01475111,-0.028821684,-0.029638975,-0.013674923,-0.01088517,-0.003789819,-0.024570191,-0.038484,0.011593228,-0.005085062,-0.009032548,-0.001308279,-0.02656191,-0.018529251,-0.00930288,-0.006218988,-0.036754074,-0.036200543,0.013292503,-0.007629836
2012-04,0.003061627,-0.004809659,0.000382209,-0.002165817,0.052099963,0.058970014,0.001100373,-0.009239912,-0.026923709,-0.015597354,-0.021794305,-0.04369688,-0.002268048,0.039342678,0.002380243,-0.011240885,0.001895553,-0.017955745,0.004238171,-0.022982627,-0.034286061,0.011716593,-0.004919952,0.010111185,-0.02332204,-0.009397434,0.032492898,-0.016017499,0.003758032,0.039308654,-0.007767404,-0.001264177,-0.011776196,0.017157106,0.012334538,0.033328488,0.00518902,-0.005558872,0.040560036,0.033446612,-0.011109136,-0.011320686,0.025028843,0.006957409,-0.006446849,0.000758595,-0.033359228,-0.02931456,-0.020399101,-0.004739763,0.040014837,0.022016059,-0.027000889,-0.006934584,0.019953559,-0.010169621,0.008855054,0.009583855,-0.034161,-0.023310761,-0.014804204,0.009078139,-0.013856088,0.015031862,-0.01224332,-0.023738374,-0.010597767,-0.016939407,-0.008274296,-0.009508244,-0.030646845,-0.002098928,-0.01479819,-0.001586959,-0.014930226,-0.005694105,-0.017804393,0.004652116,0.027893428,0.038921151,0.005897478,-0.006719166,0.001565245,-0.029818812,-0.025468772,0.042644643,-0.005806867,-0.028063677,-0.028435249,-0.000449855,-0.001901295,0.010813409,-0.023923416,-0.036517135,0.035499909,0.003505963,-0.002573703,0.00302371,-0.025664387,-0.015478921,-0.00784941,-0.000378465,-0.041369706,-0.032478173,0.026812096,-0.005066109
2012-05,0.008106627,-0.004356933,0.013672508,0.012009803,0.066274889,0.080991336,0.01581799,-0.012274325,-0.022038959,-0.015938641,-0.015274276,-0.03900301,0.010268357,0.04879824,0.004141929,-0.011830322,0.007480459,-0.008808578,0.015678422,-0.020992172,-0.024118712,0.016851371,-0.005497539,0.019575969,-0.017197568,-0.00757993,0.050396269,-0.0126893,0.006145486,0.050849626,-0.003569543,0.003304177,-0.011751003,0.02658773,0.015007257,0.04499769,0.007796114,0.00978815,0.052128745,0.046322876,0.004431006,-0.016024773,0.021166706,0.013617452,0.00431057,0.010514238,-0.032593951,-0.024441812,-0.009070067,0.000261959,0.048322594,0.024589172,-0.022360024,-0.007520744,0.029161037,-0.011971531,0.015825078,0.012264269,-0.026862497,-0.013555311,-0.014773888,0.011948412,-0.010181406,0.019453125,-0.007504174,-0.009771569,-0.009979925,-0.010751956,-0.00232465,-0.017739356,-0.031809369,-0.000273541,-0.012935104,0.001719802,-0.011224736,-0.016654883,-0.014222985,0.014856243,0.044581279,0.049720437,0.013446606,-0.004632556,0.000689306,-0.036598343,-0.031357475,0.056362927,0.005346234,-0.026063054,-0.032080997,0.011219523,0.01044807,0.0281962,-0.019019823,-0.028365778,0.050162522,0.013352507,-0.00118765,0.006295717,-0.026832886,-0.017735501,-0.009039274,0.00352321,-0.065625514,-0.023286802,0.040936951,-0.002977834
2012-06,0.009089148,-0.002727424,0.024750303,0.02068977,0.07246468,0.094844748,0.032741757,-0.003919606,-0.009576308,-0.012459247,-0.005972152,-0.031830205,0.026792333,0.058152327,0.012240685,-0.003703928,0.018960753,-0.000737249,0.02394606,-0.011808356,-0.007422395,0.021308393,0.000402852,0.030662562,-0.015326848,0.006624445,0.061000144,-0.002057058,0.012518205,0.073816414,0.000573995,0.00941245,0.000115911,0.041802741,0.020998675,0.053064001,0.00665816,0.009900954,0.060151873,0.053229899,0.005121283,-0.011543956,0.009361401,0.025105787,0.015455911,0.026981235,-0.028440392,-0.011405506,0.000656937,0.013075784,0.058908646,0.036995248,-0.007842543,0.006765147,0.04060493,-0.009162297,0.022273718,0.017702247,-0.008983948,0.006850403,-0.004109496,0.020520017,-0.010837401,0.024961955,-0.007075915,-0.007377004,0.001821985,-0.010095048,-0.000161302,-0.025459072,-0.028322091,0.012196167,0.000826765,0.01171315,-0.013522139,-0.026017558,-0.001947792,0.023458744,0.070146152,0.06503327,0.02100734,-0.006396638,0.002641197,-0.044347146,-0.037762747,0.065954362,0.01438527,-0.014338111,-0.034117231,0.018645408,0.011709599,0.040147219,-0.007119558,-0.018723952,0.064764827,0.028654114,0.001336671,0.014555291,-0.024812783,-0.023778102,-0.012973211,0.004501264,-0.087209856,-0.01197309,0.052381963,-0.004743345
2012-07,0.011590292,0.009378371,0.034546815,0.021755605,0.072977998,0.103406719,0.049707283,0.000706642,-0.002583296,-0.011351708,0.007777719,-0.025647555,0.041550343,0.063366184,0.013807149,0.00620798,0.034763292,0.005984615,0.03091816,0.001133431,0.004206163,0.027517346,0.011828517,0.037609099,-0.010145949,0.01481103,0.066839859,0.007235244,0.027286205,0.084177224,0.005617441,0.017397501,0.006517221,0.044601325,0.027031946,0.052928954,0.003544385,0.00768208,0.064712701,0.058397613,0.009856926,-0.011777932,-0.000388677,0.043781786,0.022417955,0.038907902,-0.012787914,-0.002007899,0.004712555,0.023113018,0.066477272,0.054377601,0.005984615,0.016205398,0.045700958,-0.002389729,0.02598178,0.023178168,0.00708365,0.022405746,0.004721056,0.027358809,-0.026079723,0.031070344,-0.019576248,-0.002404865,0.010608184,0.0040529,0.006455523,-0.038072973,-0.015991118,0.02466975,0.005427866,0.022911869,-0.021249581,-0.038655717,0.01033224,0.011970824,0.076057285,0.069364906,0.014358394,-0.013074269,0.007127134,-0.06436533,-0.049943541,0.070176488,0.001964146,-0.003924919,-0.054506625,0.006783667,0.013829549,0.036273938,-0.000102496,-0.012851254,0.062191942,0.043930459,-0.021965852,0.01948999,-0.031890002,-0.033592467,-0.027258272,0.007334093,-0.112134963,-0.001897656,0.058958953,-0.011975854
2012-08,0.014186935,0.019333007,0.031115999,0.005671365,0.056556739,0.098889364,0.051904717,0.001705919,-0.005296601,-0.020377004,0.01349124,-0.029691961,0.04449475,0.05370217,0.014482922,0.008750136,0.037428747,0.007924645,0.028777446,0.007990457,0.007845169,0.021039823,0.017064727,0.030466435,-0.0079537,0.007783412,0.05773049,0.007869006,0.026754675,0.087964201,0.013424886,0.013469162,0.003751641,0.038011122,0.023346282,0.038692801,-0.011931978,0.002182959,0.055112616,0.047041694,0.006355665,-0.013362997,0.006990956,0.046935316,0.019522534,0.043218193,-0.006948751,-0.002926717,0.00268028,0.018920193,0.072596475,0.069958192,0.013713619,0.012779466,0.033340531,0.001378777,0.019484351,0.016192632,0.009126085,0.02197853,0.000761593,0.022619498,-0.046199027,0.027395775,-0.039164294,-0.00699651,0.008400171,0.014500267,0.009865594,-0.052779088,-0.008345436,0.028423403,0.000866369,0.023620729,-0.031201567,-0.050128117,0.014016539,-0.012254094,0.077397268,0.06944771,0.002531774,-0.022555154,0.01755016,-0.090604523,-0.066378511,0.067439505,-0.022517087,0.002346209,-0.091091839,-0.017170382,-0.0008121,0.021599051,-0.004029773,-0.019758556,0.064483246,0.054131358,-0.05383759,0.013633811,-0.043320244,-0.04718661,-0.046399087,0.010762488,-0.134902977,-0.000954491,0.046316079,-0.026373583
2012-09,0.020108149,0.033627115,0.02423199,-0.012843591,0.04355391,0.086059412,0.050359312,0.005999396,-0.010125311,-0.032454592,0.016182703,-0.02763275,0.042425546,0.032700131,0.008405785,0.002686657,0.030569718,0.014528638,0.028169594,0.015632384,0.005434732,0.012690299,0.01763114,0.011369118,-0.000705124,-0.009029075,0.04136041,0.017647961,0.023578516,0.083339731,0.023272574,0.016792048,-0.00712205,0.024789899,0.024507544,0.016224491,-0.030006896,-0.004092898,0.034437593,0.027997227,0.00350921,-0.016392736,0.016523139,0.038580804,0.014595996,0.036864984,-0.003529116,-0.007164849,-0.000340642,0.014030198,0.073908145,0.08533957,0.010685727,-0.004131358,0.011118508,0.007191206,0.020563494,0.017390535,0.003038089,0.012211973,-0.004695001,0.014222832,-0.048110538,0.024148044,-0.043782894,-0.012351267,-0.002452844,0.025724729,0.013544455,-0.059494014,-0.007516144,0.027051582,-0.010035994,0.025826462,-0.026157745,-0.054704245,0.015611105,-0.025080187,0.073285785,0.068444239,-0.004445202,-0.021287624,0.028073143,-0.110178664,-0.071387981,0.067147094,-0.038392374,-2.87822E-05,-0.12302244,-0.035716434,-0.011644598,0.008571449,-0.007057456,-0.024540962,0.066458549,0.051586132,-0.073237025,0.004883813,-0.050043159,-0.054974002,-0.05585066,0.016907346,-0.156172954,-0.003387885,0.042412979,-0.023998135
2012-10,0.021219417,0.045548827,0.024721775,-0.033151905,0.038441889,0.091326492,0.047402964,0.018713274,-0.008445672,-0.049329889,0.018563696,-0.030055539,0.045340934,0.020828458,0.01421611,0.004371496,0.028014335,0.019480926,0.036199736,0.026793053,0.001528624,0.013220074,0.018739709,0.000684243,0.00551829,-0.013324897,0.033579537,0.028995309,0.02290942,0.089057622,0.028166154,0.022992385,-0.010850897,0.027082091,0.03610604,0.009169556,-0.055046921,-0.001854735,0.030354812,0.019766792,0.004602396,-0.008912079,0.025852268,0.033197708,0.01392037,0.034152454,-0.004355846,-0.003084146,-0.001736438,0.014015622,0.086832448,0.10000232,0.009863182,-0.004849304,0.001855956,0.012564694,0.031910073,0.026783812,0.004130762,0.012108313,-0.006018944,0.013010911,-0.036884726,0.02974574,-0.030434378,-0.015816001,-0.007940044,0.025317254,0.020855278,-0.053086211,-0.008328676,0.025768148,-0.008352532,0.035297949,-0.017543671,-0.048282306,0.015535245,-0.003505253,0.089449557,0.079360082,-0.001729521,-0.013707688,0.031131913,-0.105151054,-0.079234906,0.085307371,-0.016011755,-0.000197855,-0.136855407,-0.039460684,-0.01001854,0.003692554,-0.0029581,-0.029643242,0.083423135,0.052731692,-0.069148552,0.009313232,-0.040498318,-0.053410031,-0.048877624,0.023716519,-0.165317712,-0.011982724,0.035374536,-0.018044155
2012-11,0.014979463,0.039954678,0.033452917,-0.041837352,0.054314831,0.089477118,0.049713122,0.02907593,0.000542446,-0.062702116,0.023627494,-0.039371229,0.051833807,0.020205603,0.009472545,-0.006918189,0.013270265,0.029066295,0.036795307,0.044983553,0.005248041,0.024656089,0.018095823,0.001831386,0.000351998,-0.007383516,0.03651869,0.046240298,0.032392376,0.094014716,0.019001838,0.034418374,-0.004267854,0.023522418,0.059244415,0.013801644,-0.071912701,-0.011976832,0.03726839,0.026747212,-0.003738552,-0.001369045,0.016103666,0.027953777,-0.008668767,0.022594124,0.00581117,0.009480504,-0.003010199,0.026294781,0.102168946,0.104281312,0.009831411,0.005935903,0.005854765,0.0107002,0.038198912,0.054919516,0.015502569,0.01871106,-2.9926E-05,0.017033274,-0.011175561,0.045960181,-0.004781831,-0.022090149,-0.005580824,0.012171595,0.017572132,-0.040734915,-0.002678931,0.02453478,-0.001123574,0.040038935,-0.011640104,-0.038067451,0.003681371,0.032089932,0.107689345,0.089520991,0.008569434,-0.009396345,0.019466887,-0.098584722,-0.079784947,0.103970181,0.016489209,-0.000858492,-0.137868418,-0.028836338,-0.012796496,0.010181785,0.007873843,-0.026591413,0.096867506,0.05076109,-0.050191939,0.022619999,-0.023509055,-0.048095034,-0.035397711,0.0179831,-0.176980095,-0.017458925,0.050599633,-0.016444846
